ID,Source_File,Line_Number,Status,Final_Table,Final_Fields,DB_Operations,RFC_Functions,PERFORM_Calls,Tainted_Variables,Description,Error_Reason
1,input/01_database_insert.abap,6,Complete,ZTABLE,CREATED_BY,INSERT,,,"SY-UNAME, LV_USER, LV_CREATOR, WA_ZTABLE-CREATED_BY, WA_ZTABLE","Operations: Assignment, Assignment, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 5 tainted",
2,input/01_database_insert.abap,7,Complete,ZTABLE,CREATED_BY,INSERT,,,"SY-UNAME, LV_USER, LV_CREATOR, WA_ZTABLE-CREATED_BY, WA_ZTABLE","Operations: Assignment, Assignment, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 5 tainted",
3,input/01_database_insert.abap,12,Complete,ZTABLE,CREATED_BY,INSERT,,,"SY-UNAME, LV_USER, LV_CREATOR, WA_ZTABLE-CREATED_BY, WA_ZTABLE","Operations: Assignment, Assignment, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 5 tainted",
4,input/01_database_insert.abap,16,Complete,ZTABLE,CREATED_BY,INSERT,,,"SY-UNAME, LV_USER, LV_CREATOR, WA_ZTABLE-CREATED_BY, WA_ZTABLE","Operations: Assignment, Assignment, Assignment | Tables: ZTABLE | Fields: 1 affected | Variables: 5 tainted",
5,input/02_database_update.abap,29,Partial,,,UPDATE,,,"SY-UNAME, LV_USER, LV_UPDATER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 19 tainted",
6,input/02_database_update.abap,30,Partial,,,UPDATE,,,"SY-UNAME, LV_USER, LV_UPDATER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 19 tainted",
7,input/02_database_update.abap,31,Partial,,,UPDATE,,,"SY-UNAME, LV_USER, LV_UPDATER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 19 tainted",
8,input/02_database_update.abap,39,Partial,,,UPDATE,,,"SY-UNAME, LV_USER, LV_UPDATER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 19 tainted",
9,input/02_database_update.abap,48,Partial,,,UPDATE,,,"SY-UNAME, LV_USER, LV_UPDATER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 19 tainted",
10,input/02_database_update.abap,58,Partial,,LV_USER,UPDATE,,,"SY-UNAME, LV_USER, LV_UPDATER, LS_TEMP-CHANGED_BY, LS_TEMP","Operations: Assignment, Assignment, Assignment | Variables: 19 tainted",
11,input/02_database_update.abap,64,Complete,ZTABLE,CHANGED_BY,UPDATE,,,"SY-UNAME, LS_TEMP-CHANGED_ON, LS_TEMP, LS_TABLE, WA_ZTABLE","Operations: Assignment, Structure Field, Assignment | Variables: 17 tainted",
12,input/02_database_update.abap,86,Complete,ZTABLE,CHANGED_BY,"UPDATE, SELECT",,,"SY-UNAME, CHANGED_BY, CHANGED_ON, LV_MODIFIER, LS_TEMP-PROCESSED_DATE","Operations: Assignment, Assignment, Assignment | Variables: 17 tainted",
13,input/02_database_update.abap,97,Complete,ZTABLE,USER_FIELD,"UPDATE, SELECT",,,"SY-UNAME, LV_MODIFIER, LS_TEMP-PROCESSED_DATE, LS_TEMP, LS_TEMP-PROCESSED_BY","Operations: Assignment, Assignment, Structure Field | Variables: 16 tainted",
14,input/02_database_update.abap,106,Partial,,,"UPDATE, SELECT",,,"SY-UNAME, LV_USER, LS_TEMP-LINKED_BY, LS_TEMP, LS_INTERMEDIATE-UPDATER","Operations: Assignment, Assignment, Structure Field | Variables: 12 tainted",
